"county","precinct","office","district","party","candidate","votes"
"ALEXANDRIA CITY","111 - POTOMAC YARD","U.S. House","8","REP","Jerry W. Torres","314"
"ALEXANDRIA CITY","111 - POTOMAC YARD","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","U.S. House","8","IND","Bentley F. Hensel","21"
"ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","U.S. House","8","IND","David R. Kennedy","21"
"ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","1806"
"ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","U.S. House","8","REP","Jerry W. Torres","387"
"ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","U.S. House","8","","Write-Ins","7"
"ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","U.S. House","8","IND","Bentley F. Hensel","14"
"ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","U.S. House","8","IND","David R. Kennedy","30"
"ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","1805"
"ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","U.S. House","8","REP","Jerry W. Torres","670"
"ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","U.S. House","8","","Write-Ins","8"
"ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","U.S. House","8","IND","Bentley F. Hensel","24"
"ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","U.S. House","8","IND","David R. Kennedy","53"
"ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","1760"
"ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","U.S. House","8","REP","Jerry W. Torres","456"
"ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","U.S. House","8","","Write-Ins","7"
"ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","U.S. House","8","IND","Bentley F. Hensel","12"
"ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","U.S. House","8","IND","David R. Kennedy","39"
"ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","U.S. House","8","DEM","Donald S. Beyer, Jr.","1903"
"ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","U.S. House","8","REP","Jerry W. Torres","556"
"ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","U.S. House","8","","Write-Ins","7"
"ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","U.S. House","8","IND","Bentley F. Hensel","35"
"ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","U.S. House","8","IND","David R. Kennedy","76"
"ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","2241"
"ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","U.S. House","8","REP","Jerry W. Torres","721"
"ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","U.S. House","8","","Write-Ins","10"
"ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","U.S. House","8","IND","Bentley F. Hensel","16"
"ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","U.S. House","8","IND","David R. Kennedy","65"
"ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","1816"
"ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","U.S. House","8","REP","Jerry W. Torres","557"
"ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","U.S. House","8","","Write-Ins","7"
"ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","U.S. House","8","IND","Bentley F. Hensel","35"
"ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","U.S. House","8","IND","David R. Kennedy","57"
"ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","U.S. House","8","DEM","Donald S. Beyer, Jr.","2205"
"ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","U.S. House","8","REP","Jerry W. Torres","761"
"ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","U.S. House","8","","Write-Ins","8"
"ALEXANDRIA CITY","208 - NOVA ARTS CENTER","U.S. House","8","IND","Bentley F. Hensel","30"
"ALEXANDRIA CITY","208 - NOVA ARTS CENTER","U.S. House","8","IND","David R. Kennedy","70"
"ALEXANDRIA CITY","208 - NOVA ARTS CENTER","U.S. House","8","DEM","Donald S. Beyer, Jr.","1479"
"ALEXANDRIA CITY","208 - NOVA ARTS CENTER","U.S. House","8","REP","Jerry W. Torres","405"
"ALEXANDRIA CITY","208 - NOVA ARTS CENTER","U.S. House","8","","Write-Ins","5"
"ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","U.S. House","8","IND","Bentley F. Hensel","21"
"ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","U.S. House","8","IND","David R. Kennedy","75"
"ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","U.S. House","8","DEM","Donald S. Beyer, Jr.","2153"
"ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","U.S. House","8","REP","Jerry W. Torres","549"
"ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","U.S. House","8","","Write-Ins","7"
"ALEXANDRIA CITY","210 - F.T. DAY SCHOOL","U.S. House","8","IND","Bentley F. Hensel","25"
"ALEXANDRIA CITY","210 - F.T. DAY SCHOOL","U.S. House","8","IND","David R. Kennedy","45"
