County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Bedford County",-,"205 - Saunders Vol Fire Dept (CD 5)",637,560,6,2,0,"1,205"
"Bedford County",-,"301 - New London Academy (CD 6)",915,"1,224",6,3,0,"2,148"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",566,411,6,3,1,987
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",304,322,3,3,0,632
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",347,408,2,2,0,759
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",314,260,0,0,1,575
"Bedford County",-,"401 - Forest Elem School (CD 6)",700,985,3,9,2,"1,699"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)","1,056","1,259",6,11,0,"2,332"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",810,977,4,6,3,"1,800"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",280,180,2,2,0,464
"Bedford County",-,"503 - Sedalia Center (CD 6)",335,313,4,3,0,655
"Bedford County",-,"504 - Odd Fellows Hall (CD 6)",141,130,1,0,0,272
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",810,728,8,9,0,"1,555"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",677,838,5,5,3,"1,528"
"Bedford County",-,"507 - Pleasant View (CD 6)",82,62,0,1,0,145
"Bedford County",-,"601 - Montvale Elem School (CD 6)",621,510,8,4,0,"1,143"
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",631,520,4,3,0,"1,158"
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",641,458,6,6,0,"1,111"
"Bedford County",-,"604 - Saunders Grove Brethern Church (CD 5)",131,107,0,0,0,238
"Bedford County",-,"701 - Goode Rescue Squad (CD 5)",547,858,5,5,0,"1,415"
"Bedford County",-,"702 - Liberty High School (CD 5)",780,590,7,8,1,"1,386"
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",697,542,7,6,0,"1,252"
"Bedford County",-,"704 - Suck Springs (CD 6)",211,191,2,2,0,406
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",755,629,6,3,1,"1,394"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",831,774,5,6,0,"1,616"
"Bedford County",-,"Provisional Votes (CD 5)",5,6,0,0,0,11
"Bedford County",-,"Provisional Votes (CD 6)",3,4,0,0,0,7
"Bedford City",-,"1 - Ward One (CD 5)",878,469,4,5,3,"1,359"
"Bedford City",-,"2 - Ward Two (CD 5)",645,334,8,2,1,990
"Bedford City",-,"Ab - Central Absentee Precinct (CD 5)",225,91,0,2,0,318
"Bedford City",-,"Provisional Votes (CD 5)",0,0,0,0,0,0
"Bland County",-,"101 - Bastian (CD 9)",178,164,4,1,0,347
"Bland County",-,"102 - Ceres (CD 9)",175,145,5,3,0,328
"Bland County",-,"201 - Davis (CD 9)",60,35,3,1,0,99
"Bland County",-,"202 - Seddon (CD 9)",368,307,8,3,0,686
"Bland County",-,"301 - Hollybrook (CD 9)",185,123,1,2,1,312
"Bland County",-,"302 - Mechanicsburg (CD 9)",94,83,2,2,0,181
"Bland County",-,"401 - Rocky Gap (CD 9)",352,305,5,5,0,667
"Bland County",-,"Ab - Central Absentee Precinct (CD 9)",105,69,2,1,0,177
"Bland County",-,"Provisional Votes (CD 9)",0,1,0,0,0,1
"Botetourt County",-,"101 - Amsterdam (CD 6)",614,459,4,1,0,"1,078"
"Botetourt County",-,"102 - Asbury (CD 6)",836,939,2,14,1,"1,792"
"Botetourt County",-,"104 - Troutville (CD 6)",341,282,5,5,0,633
"Botetourt County",-,"201 - Blue Ridge (CD 6)",870,860,10,2,1,"1,743"
"Botetourt County",-,"202 - Rainbow Forest (CD 6)",773,663,11,5,4,"1,456"
"Botetourt County",-,"301 - Buchanan (CD 6)",677,459,2,5,0,"1,143"
"Botetourt County",-,"302 - Mill Creek (CD 6)",405,345,4,2,0,756
"Botetourt County",-,"303 - Roaring Run (CD 6)",163,134,4,2,0,303
"Botetourt County",-,"304 - Springwood (CD 6)",351,270,3,8,0,632
"Botetourt County",-,"402 - Courthouse (CD 6)",634,428,8,19,0,"1,089"
"Botetourt County",-,"403 - Eagle Rock (CD 6)",308,239,1,3,0,551
"Botetourt County",-,"404 - Glen Wilton (CD 6)",253,162,2,1,0,418
"Botetourt County",-,"405 - Oriskany (CD 6)",29,22,0,1,0,52
"Botetourt County",-,"406 - Town Hall (CD 6)",417,392,3,3,0,815
"Botetourt County",-,"501 - Coyner Springs (CD 6)",512,445,6,1,0,964
"Botetourt County",-,"502 - Cloverdale (CD 6)","1,149",993,14,7,1,"2,164"
"Botetourt County",-,"Ab - Central Absentee Precinct (CD 6)",894,714,4,8,3,"1,623"
"Botetourt County",-,"Provisional Votes (CD 6)",4,5,0,0,0,9
"Bristol City",-,"1 - First Ward (CD 9)",636,529,8,4,4,"1,181"
"Bristol City",-,"2 - Second Ward (CD 9)",896,615,8,4,7,"1,530"
"Bristol City",-,"3 - Third Ward (CD 9)",690,378,12,4,2,"1,086"
"Bristol City",-,"4 - Fourth Ward (CD 9)","1,273","1,206",14,10,6,"2,509"
"Bristol City",-,"Ab - Central Absentee Precinct (CD 9)",560,302,5,0,0,867
"Bristol City",-,"Provisional Votes (CD 9)",5,1,0,0,0,6
"Brunswick County",-,"101 - Brodnax (CD 5)",273,139,4,5,0,421
"Brunswick County",-,"102 - Rock Store (CD 5)",381,235,4,2,0,622
"Brunswick County",-,"103 - Tillman (CD 5)",359,268,2,2,0,631
"Brunswick County",-,"201 - Dromgoole (CD 5)",151,81,1,1,0,234
"Brunswick County",-,"202 - Edgerton (CD 5)",644,111,3,3,0,761
"Brunswick County",-,"203 - Fitzhugh (CD 5)",467,116,5,0,0,588
"Brunswick County",-,"301 - Alberta (CD 4)",101,49,2,3,0,155
"Brunswick County",-,"302 - Danieltown (CD 4)",488,240,3,4,0,735
"Brunswick County",-,"303 - Elmore (CD 4)",235,94,5,1,0,335
"Brunswick County",-,"304 - Seymour (CD 4)",205,88,1,0,0,294
"Brunswick County",-,"401 - Sturgeon (CD 5)",885,257,9,3,0,"1,154"
"Brunswick County",-,"402 - King's Store (CD 4)",100,5,0,0,0,105
"Brunswick County",-,"402 - King's Store (CD 5)",212,49,1,2,1,265
"Brunswick County",-,"501 - Lawrenceville (CD 5)","1,151",228,5,6,0,"1,390"
"Brunswick County",-,"Provisional Votes (CD 4)",1,0,0,0,0,1
"Brunswick County",-,"Provisional Votes (CD 5)",2,1,0,0,0,3
"Buchanan County",-,"102 - Blackey (CD 9)",239,84,0,0,1,324
"Buchanan County",-,"103 - Hurley (CD 9)",458,290,2,0,0,750
"Buchanan County",-,"201 - Grassy (CD 9)",82,29,0,0,0,111
"Buchanan County",-,"202 - Bull (CD 9)",388,111,4,0,0,503
"Buchanan County",-,"203 - Rocklick (CD 9)",390,123,2,3,0,518
"Buchanan County",-,"301 - Slate (CD 9)",452,177,0,1,0,630
"Buchanan County",-,"302 - North Grundy (CD 9)",353,181,3,0,0,537
"Buchanan County",-,"403 - South Grundy (CD 9)",567,306,1,3,0,877
"Buchanan County",-,"404 - Oakwood (CD 9)",90,50,1,0,0,141
"Buchanan County",-,"501 - Prater (CD 9)",429,81,1,1,0,512
"Buchanan County",-,"502 - Fox (CD 9)",116,18,0,0,0,134
"Buchanan County",-,"503 - Vansant (CD 9)",387,157,0,0,0,544
"Buchanan County",-,"601 - Council (CD 9)",216,121,0,1,0,338
